electeur	auteur	vote	version
ralphmatthes	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
heloisegazeau	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
deagemarie	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
cedrictemple	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
pascalelalot	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
bealjulien	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
cbernault	consortiumcouperin	0	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
favreguillaume	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
federationnationaledelapressedinformationspecialisee	consortiumcouperin	-1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
ericdaspet	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
gregschwe	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
magariel	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
bibliophile	consortiumcouperin	-1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
